"brand","cohort","sex","wt","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"5739",2000,"F",23.4,1,2,19,4,19,6,7,8,9,10,19,12,13,19,19,19,19,19,19,19,19,19,19,19,19
"5740",2000,"F",19.6,1,19,19,19,19,6,19,8,19,19,19,12,13,14,15,16,19,19,19,19,19,19,19,19,19
"5742",2000,"F",18.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5743",2000,"F",20.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5745",2000,"F",17.8,1,19,3,4,5,6,19,8,19,19,19,12,19,14,19,16,19,18,18,19,19,19,19,19,19
"5746",2000,"F",16,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5747",2000,"F",17.6,1,19,3,4,5,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5748",2000,"F",15.6,1,2,19,4,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5751",2000,"F",20.6,1,19,19,19,19,6,7,8,9,10,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5753",2000,"F",14,1,2,3,4,5,19,7,8,9,10,11,12,13,14,15,16,17,18,18,19,19,19,19,19,19
"5754",2000,"F",18,1,19,3,4,19,6,7,8,9,10,11,12,13,14,15,19,19,18,18,18,19,19,19,19,19
"5755",2000,"F",14.6,1,2,3,4,5,19,7,8,9,10,11,12,13,14,19,19,19,19,19,19,19,19,19,19,19
"5757",2000,"F",14.4,1,19,3,4,19,19,19,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5758",2000,"F",18.8,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5759",2000,"F",11.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5761",2000,"F",14.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5762",2000,"F",18.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5763",2000,"F",14.8,1,2,3,4,5,6,19,8,9,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5764",2000,"F",13,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5765",2000,"F",18,1,2,3,4,5,19,7,19,9,10,11,12,13,14,15,16,19,18,18,19,19,19,19,19,19
"5766",2000,"F",13.2,1,19,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5767",2000,"F",12.2,1,19,19,19,19,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18,19,19,19,18,19
"5768",2000,"F",16.4,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5770",2000,"F",20.8,1,19,3,19,19,6,19,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5771",2000,"F",13,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5772",2000,"F",16,1,2,3,19,19,6,7,8,9,10,11,12,13,14,15,19,19,19,19,19,19,19,19,19,19
"5773",2000,"F",22.2,1,19,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5774",2000,"F",15.2,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5776",2000,"F",17.6,1,19,3,4,5,6,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5777",2000,"F",18.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5778",2000,"F",15.4,1,19,19,19,19,6,7,19,9,10,19,12,13,14,15,16,17,18,18,19,19,19,19,19,19
"5779",2000,"F",17,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5780",2000,"F",13,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5782",2000,"F",22,1,2,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5783",2000,"F",15.2,1,2,19,19,19,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5785",2000,"F",15.8,1,2,3,4,5,6,7,8,9,10,11,12,13,19,19,19,19,19,19,19,19,19,19,19,19
"5786",2000,"F",20,1,2,3,4,19,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5787",2000,"F",18.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5790",2000,"F",14.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5791",2000,"F",15.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5792",2000,"F",17.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5793",2000,"F",17.2,1,19,3,4,19,6,19,19,9,10,19,19,19,19,15,19,19,19,19,19,19,19,19,19,19
"5795",2000,"F",19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5797",2000,"F",17,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5798",2000,"F",17,1,2,3,4,19,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5799",2000,"F",15.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5800",2000,"F",16.2,1,19,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5803",2000,"F",19.6,1,19,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5804",2000,"F",23,1,19,3,4,5,6,7,8,9,10,11,12,13,14,15,19,19,19,19,19,19,19,19,19,19
"5805",2000,"F",15.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5806",2000,"F",18.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5807",2000,"F",20,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5808",2000,"F",20.2,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5809",2000,"F",15.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5811",2000,"F",17.2,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5813",2000,"F",13.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5815",2000,"F",20.8,1,19,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5816",2000,"F",20.8,1,19,19,19,19,19,7,8,19,10,11,12,13,14,15,16,17,18,19,19,19,19,19,19,19
"5817",2000,"F",16.4,1,19,19,4,19,6,7,8,9,10,11,12,13,14,15,16,17,19,19,19,19,19,19,19,19
"5818",2000,"F",13,1,19,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5820",2000,"F",21.2,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5822",2000,"F",15.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5824",2000,"F",18,1,19,19,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5825",2000,"F",18.8,1,2,19,19,19,6,7,8,9,10,11,12,13,14,15,16,19,18,18,18,19,18,18,19,19
"5826",2000,"F",20.8,1,19,19,4,5,19,7,8,9,19,11,12,19,19,19,19,19,19,19,19,19,19,19,19,19
"5829",2000,"F",15.8,1,19,3,19,19,19,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
