"brand","cohort","sex","wt","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2021","2022","2023","2024"
"10",1987,"F",15,1,19,19,19,19,6,19,8,9,10,11,12,13,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"100",1987,"F",15.6,1,19,19,19,19,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"105",1987,"F",18.5,1,19,19,19,19,19,19,19,19,19,19,19,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"106",1987,"F",20,1,19,19,4,19,19,19,8,19,19,19,12,19,19,19,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"108",1987,"F",14,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"11",1987,"F",23,1,19,19,4,19,19,7,19,9,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"110",1987,"F",14,1,19,19,19,19,19,19,8,9,10,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"111",1987,"F",18,1,19,19,19,19,19,19,8,19,19,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"112",1987,"F",16,1,19,19,19,19,19,19,8,9,10,11,12,13,14,15,16,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"114",1987,"F",19,1,19,19,19,5,19,19,8,9,10,11,19,13,14,15,19,19,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"115",1987,"F",19,1,19,19,4,19,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
